feature,importance
humidity,0.1387692398331009
K,0.12969429563126858
rainfall,0.12824808479702127
P,0.10586022178099853
NPK,0.0864025366030921
THI,0.07864921849100708
temp_rain,0.0712318390742768
ph_rain,0.06949777901737529
N,0.06819905943154302
temperature,0.036679111726756364
rainfall_level_High,0.029904043774672408
ph,0.027037117990268852
rainfall_level_Med,0.015693563530418248
rainfall_level_VeryHigh,0.00926763062877234
ph_category_Neutral,0.004093163189603878
ph_category_Alkaline,0.0007730944998243412
